"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 18 09:04:50 QYZT 2025","Wed Jun 18 09:04:59 QYZT 2025","9075","","com.stellar.tests.ConstructorTest","","com.stellar.tests.ConstructorTest","navigateToSaucesTabTest[Браузер: chrome]","Переход на вкладку соусов","Тест проверяет возможность перехода на вкладку соусов в конструкторе"
"passed","Wed Jun 18 09:06:01 QYZT 2025","Wed Jun 18 09:06:09 QYZT 2025","7773","","com.stellar.tests.ProfileTest","","com.stellar.tests.ProfileTest","navigateFromProfileToConstructorViaButtonTest[Браузер: chrome]","Переход из профиля в конструктор через кнопку","Тест проверяет возможность перехода из профиля в конструктор через кнопку 'Конструктор'"
"passed","Wed Jun 18 09:06:37 QYZT 2025","Wed Jun 18 09:06:43 QYZT 2025","5909","","com.stellar.tests.RegistrationTest","","com.stellar.tests.RegistrationTest","registrationFailsWithShortPasswordTest[Браузер: chrome]","Регистрация невозможна с коротким паролем","Тест проверяет, что пользователь не может зарегистрироваться с паролем менее 6 символов"
"passed","Wed Jun 18 09:05:32 QYZT 2025","Wed Jun 18 09:05:39 QYZT 2025","7064","","com.stellar.tests.LoginTest","","com.stellar.tests.LoginTest","loginViaRegistrationFormLinkTest[Браузер: chrome]","Вход через ссылку в форме регистрации","Тест проверяет возможность входа через ссылку на странице регистрации"
"passed","Wed Jun 18 09:06:09 QYZT 2025","Wed Jun 18 09:06:37 QYZT 2025","28023","","com.stellar.tests.RegistrationTest","","com.stellar.tests.RegistrationTest","successfulRegistrationTest[Браузер: chrome]","Успешная регистрация пользователя","Тест проверяет возможность успешной регистрации пользователя с валидными данными"
"passed","Wed Jun 18 09:05:18 QYZT 2025","Wed Jun 18 09:05:25 QYZT 2025","7187","","com.stellar.tests.LoginTest","","com.stellar.tests.LoginTest","loginViaPasswordRecoveryFormLinkTest[Браузер: chrome]","Вход через ссылку в форме восстановления пароля","Тест проверяет возможность входа через ссылку на странице восстановления пароля"
"passed","Wed Jun 18 09:05:25 QYZT 2025","Wed Jun 18 09:05:32 QYZT 2025","6675","","com.stellar.tests.LoginTest","","com.stellar.tests.LoginTest","loginViaPersonalCabinetButtonTest[Браузер: chrome]","Вход через кнопку 'Личный кабинет'","Тест проверяет возможность входа через кнопку 'Личный кабинет'"
"passed","Wed Jun 18 09:04:50 QYZT 2025","Wed Jun 18 09:04:50 QYZT 2025","36","","com.stellar.tests.AllureReportTest","","com.stellar.tests.AllureReportTest","testAllureReportGeneration","Проверка генерации отчета Allure","Тестовый метод для проверки генерации отчета Allure"
"passed","Wed Jun 18 09:05:46 QYZT 2025","Wed Jun 18 09:05:54 QYZT 2025","8363","","com.stellar.tests.ProfileTest","","com.stellar.tests.ProfileTest","logoutTest[Браузер: chrome]","Выход из аккаунта","Тест проверяет возможность выхода из аккаунта"
"passed","Wed Jun 18 09:05:04 QYZT 2025","Wed Jun 18 09:05:09 QYZT 2025","4670","","com.stellar.tests.ConstructorTest","","com.stellar.tests.ConstructorTest","navigateToBunsTabTest[Браузер: chrome]","Переход на вкладку булок","Тест проверяет возможность перехода на вкладку булок в конструкторе"
"passed","Wed Jun 18 09:04:59 QYZT 2025","Wed Jun 18 09:05:04 QYZT 2025","4786","","com.stellar.tests.ConstructorTest","","com.stellar.tests.ConstructorTest","navigateToFillingsTabTest[Браузер: chrome]","Переход на вкладку начинок","Тест проверяет возможность перехода на вкладку начинок в конструкторе"
"passed","Wed Jun 18 09:05:39 QYZT 2025","Wed Jun 18 09:05:46 QYZT 2025","6901","","com.stellar.tests.ProfileTest","","com.stellar.tests.ProfileTest","navigateFromProfileToConstructorViaLogoTest[Браузер: chrome]","Переход из профиля в конструктор через логотип","Тест проверяет возможность перехода из профиля в конструктор через логотип"
"passed","Wed Jun 18 09:05:09 QYZT 2025","Wed Jun 18 09:05:18 QYZT 2025","9173","","com.stellar.tests.LoginTest","","com.stellar.tests.LoginTest","loginViaLoginToAccountButtonTest[Браузер: chrome]","Вход через кнопку 'Войти в аккаунт' на главной странице","Тест проверяет возможность входа через кнопку 'Войти в аккаунт' на главной странице"
"passed","Wed Jun 18 09:05:54 QYZT 2025","Wed Jun 18 09:06:01 QYZT 2025","7275","","com.stellar.tests.ProfileTest","","com.stellar.tests.ProfileTest","navigateToPersonalCabinetTest[Браузер: chrome]","Переход в личный кабинет","Тест проверяет возможность перехода в личный кабинет"
